state,population
Sao Paulo,44035304
Minas Gerais,20734097
Rio de Janeiro,16461173
Bahia,15126371
Rio Grande do Sul,11207274
Parana,11081692
Pernambuco,9277727
Ceara,8842791
Para,8073924
Maranhao,6850884
Santa Catarina,6727148
Goias,6523222
Paraíba,3943885
Espirito Santo,3885049
Amazonas,3873743
Rio Grande do Norte,3408510
Alagoas,3321730
Mato Grosso,3224357
Piaui,3194178
Federal District,2852372
Mato Grosso do Sul,2619657
Sergipe,2219514
Rondonia,1748531
Tocantins,1496880
Acre,790101
Amapa,750912
Roraima,496936